#ID	x0	y0		x1	y1
0	72 0 		72 14 
228	-58 57 		-58 42 
229	-58 42 		-72 61 
230	-58 57 		-72 61 
231	-67 69 		-58 57 
232	-58 57 		-58 80 
233	-67 69 		-58 80 
234	-67 69 		-72 61 
235	-86 42 		-95 30 
236	-86 42 		-72 38 
237	-72 47 		-86 42 
238	-86 42 		-72 61 
239	-72 47 		-72 61 
240	-72 47 		-72 38 
241	-58 42 		-72 47 
242	-36 26 		-22 30 
243	-22 30 		-36 11 
244	-36 26 		-36 11 
245	-44 14 		-36 26 
246	-36 26 		-58 19 
247	-44 14 		-58 19 
248	-44 14 		-36 11 
249	-13 4 		0 0 
250	-13 4 		-13 19 
251	-22 16 		-13 4 
252	-13 4 		-36 11 
253	-22 16 		-36 11 
254	-22 16 		-13 19 
255	-22 30 		-22 16 
256	-58 42 		-44 61 
257	-58 57 		-44 61 
258	-50 69 		-58 57 
259	-22 30 		-44 38 
260	-31 42 		-44 38 
261	-44 47 		-31 42 
262	-44 47 		-44 61 
263	-44 47 		-44 38 
264	-58 42 		-44 47 
265	-58 42 		-44 38 
266	-58 42 		-50 30 
267	-50 30 		-44 38 
268	-50 30 		-58 19 
269	-36 26 		-44 38 
270	-50 30 		-36 26 
271	-72 0 		-72 14 
272	-72 14 		-81 11 
273	-72 0 		-81 11 
274	-72 0 		-58 19 
275	-72 14 		-58 19 
276	-95 30 		-81 11 
277	-81 26 		-81 11 
278	-72 14 		-81 26 
279	-81 -11 		-72 0 
280	-72 0 		-95 -7 
281	-81 -11 		-95 -7 
282	-95 -16 		-81 -11 
283	-81 -11 		-95 -30 
284	-95 -16 		-95 -30 
285	-95 -16 		-95 -7 
286	-95 16 		-95 30 
287	-95 16 		-81 11 
288	-86 4 		-95 16 
289	-95 16 		-95 -7 
290	-86 4 		-95 -7 
291	-86 4 		-81 11 
292	-72 0 		-86 4 
293	-44 0 		-36 -11 
294	-36 -11 		-36 11 
295	-44 0 		-36 11 
296	-44 14 		-44 0 
297	-44 0 		-58 19 
298	0 0 		-22 -7 
299	-13 4 		-22 -7 
300	-27 0 		-13 4 
301	-27 0 		-36 11 
302	-27 0 		-22 -7 
303	-36 -11 		-27 0 
304	-36 -11 		-22 -7 
305	-72 0 		-72 -23 
306	-81 -11 		-72 -23 
307	-81 -26 		-81 -11 
308	-81 -26 		-95 -30 
309	-81 -26 		-72 -23 
310	-50 -16 		-36 -11 
311	-36 -11 		-58 -4 
312	-50 -16 		-58 -4 
313	-64 -11 		-50 -16 
314	-50 -16 		-72 -23 
315	-64 -11 		-72 -23 
316	-64 -11 		-58 -4 
317	-72 0 		-64 -11 
318	-72 0 		-58 -4 
319	-72 0 		-58 4 
320	-58 4 		-58 -4 
321	-58 4 		-58 19 
322	-44 0 		-58 -4 
323	-58 4 		-44 0 
324	-58 -42 		-50 -54 
325	-50 -54 		-58 -57 
326	-58 -42 		-58 -57 
327	-58 -42 		-36 -49 
328	-50 -54 		-36 -49 
329	-50 -69 		-58 -80 
330	-58 -80 		-58 -57 
331	-50 -69 		-58 -57 
332	-50 -54 		-50 -69 
333	-50 -69 		-36 -49 
334	-72 -38 		-58 -42 
335	-58 -42 		-81 -49 
336	-72 -38 		-81 -49 
337	-86 -42 		-72 -38 
338	-72 -38 		-95 -30 
339	-86 -42 		-95 -30 
340	-86 -42 		-81 -49 
341	-67 -69 		-58 -80 
342	-67 -69 		-58 -57 
343	-67 -54 		-67 -69 
344	-67 -69 		-81 -49 
345	-67 -54 		-81 -49 
346	-67 -54 		-58 -57 
347	-58 -42 		-67 -54 
348	-36 -26 		-36 -11 
349	-36 -11 		-22 -30 
350	-36 -26 		-22 -30 
351	-27 -38 		-36 -26 
352	-36 -26 		-36 -49 
353	-27 -38 		-36 -49 
354	-27 -38 		-22 -30 
355	-8 -11 		0 0 
356	-8 -11 		-22 -7 
357	-22 -16 		-8 -11 
358	-8 -11 		-22 -30 
359	-22 -16 		-22 -30 
360	-22 -16 		-22 -7 
361	-36 -11 		-22 -16 
362	-58 -42 		-72 -23 
363	-72 -38 		-72 -23 
364	-81 -26 		-72 -38 
365	-36 -11 		-50 -30 
366	-50 -16 		-50 -30 
367	-58 -28 		-50 -16 
368	-58 -28 		-72 -23 
369	-58 -28 		-50 -30 
370	-58 -42 		-58 -28 
371	-58 -42 		-50 -30 
372	-58 -42 		-44 -38 
373	-44 -38 		-50 -30 
374	-44 -38 		-36 -49 
375	-36 -26 		-50 -30 
376	-44 -38 		-36 -26 
377	-22 -69 		-36 -64 
378	-36 -64 		-36 -73 
379	-22 -69 		-36 -73 
380	-22 -69 		-36 -49 
381	-36 -64 		-36 -49 
382	-58 -80 		-36 -73 
383	-50 -69 		-36 -73 
384	-36 -64 		-50 -69 
385	-13 -80 		-22 -69 
386	-22 -69 		-22 -92 
387	-13 -80 		-22 -92 
388	-13 -95 		-13 -80 
389	-13 -80 		0 -100 
390	-13 -95 		0 -100 
391	-13 -95 		-22 -92 
392	-44 -85 		-58 -80 
393	-44 -85 		-36 -73 
394	-31 -80 		-44 -85 
395	-44 -85 		-22 -92 
396	-31 -80 		-22 -92 
397	-31 -80 		-36 -73 
398	-22 -69 		-31 -80 
399	-13 -42 		0 -38 
400	0 -38 		-22 -30 
401	-13 -42 		-22 -30 
402	-27 -38 		-13 -42 
403	-13 -42 		-36 -49 
404	0 0 		0 -23 
405	-8 -11 		0 -23 
406	-8 -26 		-8 -11 
407	-8 -26 		-22 -30 
408	-8 -26 		0 -23 
409	0 -38 		-8 -26 
410	0 -38 		0 -23 
411	-22 -69 		0 -76 
412	-13 -80 		0 -76 
413	0 -85 		-13 -80 
414	0 -85 		0 -100 
415	0 -85 		0 -76 
416	0 -52 		0 -38 
417	0 -38 		-13 -57 
418	0 -52 		-13 -57 
419	-8 -64 		0 -52 
420	0 -52 		0 -76 
421	-8 -64 		0 -76 
422	-8 -64 		-13 -57 
423	-22 -69 		-8 -64 
424	-22 -69 		-13 -57 
425	-22 -69 		-22 -54 
426	-22 -54 		-13 -57 
427	-22 -54 		-36 -49 
428	-13 -42 		-13 -57 
429	-22 -54 		-13 -42 
430	22 -69 		36 -64 
431	36 -64 		36 -73 
432	22 -69 		36 -73 
433	22 -69 		36 -50 
434	36 -64 		36 -50 
435	50 -69 		58 -80 
436	58 -80 		36 -73 
437	50 -69 		36 -73 
438	36 -64 		50 -69 
439	50 -69 		36 -50 
440	13 -80 		22 -69 
441	22 -69 		22 -92 
442	13 -80 		22 -92 
443	13 -95 		13 -80 
444	13 -80 		0 -100 
445	13 -95 		0 -100 
446	13 -95 		22 -92 
447	44 -85 		58 -80 
448	44 -85 		36 -73 
449	31 -80 		44 -85 
450	44 -85 		22 -92 
451	31 -80 		22 -92 
452	31 -80 		36 -73 
453	22 -69 		31 -80 
454	13 -42 		0 -38 
455	0 -38 		22 -30 
456	13 -42 		22 -30 
457	27 -38 		13 -42 
458	13 -42 		36 -50 
459	27 -38 		36 -50 
460	27 -38 		22 -30 
461	8 -11 		0 0 
462	8 -11 		0 -23 
463	8 -26 		8 -11 
464	8 -11 		22 -30 
465	8 -26 		22 -30 
466	8 -26 		0 -23 
467	0 -38 		8 -26 
468	22 -69 		0 -76 
469	13 -80 		0 -76 
470	0 -85 		13 -80 
471	0 -38 		13 -57 
472	0 -52 		13 -57 
473	8 -64 		0 -52 
474	8 -64 		0 -76 
475	8 -64 		13 -57 
476	22 -69 		8 -64 
477	22 -69 		13 -57 
478	22 -69 		22 -54 
479	22 -54 		13 -57 
480	22 -54 		36 -50 
481	13 -42 		13 -57 
482	22 -54 		13 -42 
483	58 -42 		50 -54 
484	50 -54 		58 -57 
485	58 -42 		58 -57 
486	58 -42 		36 -50 
487	50 -54 		36 -50 
488	58 -80 		58 -57 
489	50 -69 		58 -57 
490	50 -54 		50 -69 
491	72 -38 		58 -42 
492	58 -42 		81 -50 
493	72 -38 		81 -50 
494	86 -42 		72 -38 
495	72 -38 		95 -30 
496	86 -42 		95 -30 
497	86 -42 		81 -50 
498	67 -69 		58 -80 
499	67 -69 		58 -57 
500	67 -54 		67 -69 
501	67 -69 		81 -50 
502	67 -54 		81 -50 
503	67 -54 		58 -57 
504	58 -42 		67 -54 
505	36 -26 		36 -11 
506	36 -11 		22 -30 
507	36 -26 		22 -30 
508	27 -38 		36 -26 
509	36 -26 		36 -50 
510	8 -11 		22 -7 
511	22 -16 		8 -11 
512	22 -16 		22 -30 
513	22 -16 		22 -7 
514	36 -11 		22 -16 
515	58 -42 		72 -23 
516	72 -38 		72 -23 
517	81 -26 		72 -38 
518	36 -11 		50 -30 
519	50 -16 		50 -30 
520	58 -28 		50 -16 
521	58 -28 		72 -23 
522	58 -28 		50 -30 
523	58 -42 		58 -28 
524	58 -42 		50 -30 
525	58 -42 		44 -38 
526	44 -38 		50 -30 
527	44 -38 		36 -50 
528	36 -26 		50 -30 
529	44 -38 		36 -26 
